abecedario,m. Serie ordenada de las letras de un idioma
abominable,adj. Digno de ser abominado
ambulancia,f. Vehículo destinado al transporte de heridos y enfermos y de elementos de cura y auxilio
aprovechar,tr. Emplear útilmente algo hacerlo provechoso o sacarle el máximo rendimiento
arquitectura,f. Arte de proyectar y construir edificios
berberecho,m. Molusco bivalvo de unos cuatro centímetros de largo y conchas estriadas casi circulares que vive enterrado en la arena y es muy apreciado como comestible
bicarbonato,m. Quím. Sal ácida del ácido carbónico
bilirrubina,f. Fisiol. Pigmento biliar de color amarillo
calendario,m. Sistema de representación del paso de los días agrupados en unidades superiores como semanas meses años etc.
constelación,f. Conjunto de estrellas que mediante trazos imaginarios forman un dibujo que evoca una figura determinada
continente,adj. Que contiene
curiosidad,f. Cualidad de curioso
dictaminar,intr. Dar dictamen
diferenciar,tr. Hacer distinción conocer la diversidad de las cosas
disciplina,f. Doctrina instrucción de una persona especialmente en lo moral
discreción,f. Sensatez para formar juicio y tacto para hablar u obrar
ecosistema,m. Ecol. Sistema ecológico constituido por un medio y los seres vivos que habitan en él así como por sus relaciones mutuas
empobrecer,tr. Hacer que alguien venga al estado de pobreza
enfrentamiento,m. Acción y efecto de enfrentar
enloquecer,tr. Hacer perder el juicio a alguien U. t. en sent. fig.
enriquecer,tr. Hacer rica a una persona comarca nación fábrica industria u otra cosa U. m. c. prnl.
entorpecer,tr. Poner torpe U. t. c. prnl.
entrevista,f. Acción y efecto de entrevistar o entrevistarse
entristecer,tr. Causar tristeza a alguien U. t. c. intr.
entrometer,tr. entremeter. U. t. c. prnl.
entusiasta,adj. Que siente entusiasmo por alguien o algo U. t. c. s.
equivalente,adj. Dicho de una persona o de una cosa Que equivale a otra U. t. c. s. m.
escabullir,intr. p. us. Salir de un encierro de una enfermedad o de un peligro
esclarecer,tr. Iluminar algo ponerlo claro y luciente
estremecer,tr. Hacer temblar algo
evaluación,f. Acción y efecto de evaluar
explicación,f. Declaración o exposición de cualquier materia doctrina o texto con palabras claras o ejemplos para que se haga más perceptible
exuberante,adj. Muy abundante y copioso
falsificar,tr. Falsear o adulterar algo
fascinante,adj. Sumamente atractivo
federación,f. Acción de federar o federarse
formalizar,tr. Dar estructura formal a una proposición o a un discurso
formidable,adj. Muy temible y que infunde asombro y miedo
fotocopiar,tr. Reproducir algo mediante fotocopias
fotografía,f. Procedimiento o técnica que permite obtener imágenes fijas de la realidad mediante la acción de la luz sobre una superficie sensible o sobre un sensor
fraccionar,tr. Dividir algo en partes o fracciones U. t. c. prnl.
fragmentar,tr. Reducir a fragmentos U. t. c. prnl.
frivolidad,f. Cualidad de frívolo
frustración,f. Acción y efecto de frustrar
fundamental,adj. Que sirve de fundamento o es lo principal en algo
garabatear,intr. Echar los garabatos para agarrar o asir algo y sacarlo de donde está metido
garantizar,tr. Dar garantía
gastronomía,f. Arte de preparar una buena comida
generosidad,f. Cualidad de generoso
germinación,f. Acción de germinar
grandilocuencia,f. Elocuencia elevada o pomposa
gratificación,f. Recompensa pecuniaria de un servicio eventual
guillotina,f. Máquina inventada en para decapitar a los reos de muerte
habitación,f. Acción y efecto de habitar
hacinamiento,m. Acción y efecto de hacinar
hagiografía,f. Historia de las vidas de los santos
haraganear,intr. Rehuir el trabajo
hazmerreír,m. coloq. Persona que por su figura ridícula y porte extravagante sirve de diversión a los demás
helicóptero,m. Aeronave que a diferencia del avión se sostiene merced a un rotor de eje oblicuo movido por un motor lo que le permite elevarse y descender verticalmente
hemisferio,m. Mitad de la superficie de la esfera terrestre que resulta al ser dividida esta por un círculo máximo especialmente el ecuador o un meridiano
hibernación,f. Estado fisiológico que se presenta en ciertos mamíferos como adaptación a condiciones invernales extremas con descenso de la temperatura corporal hasta cerca de ° y disminución general de las funciones metabólicas
hidratación,f. Acción y efecto de hidratar
homeopatía,f. Práctica que consiste en administrar a alguien en dosis mínimas las mismas sustancias que en mayores cantidades producirían supuestamente en la persona sana síntomas iguales o parecidos a los que se trata de combatir
identificar,tr. Hacer que dos o más cosas en realidad distintas aparezcan y se consideren como una misma U. m. c. prnl.
impaciencia,f. Intranquilidad producida por algo que molesta o que no acaba de llegar
impermeable,adj. Impenetrable al agua o a otro fluido
importante,adj. Que importa
improbable,adj. No probable
improvisación,f. Acción y efecto de improvisar
imprudente,adj. Que no tiene prudencia U. t. c. s.
incalculable,adj. Que no se puede calcular
incipiente,adj. Que empieza
inclinación,f. Acción y efecto de inclinar o inclinarse
incoherente,adj. No coherente
indagación,f. Acción y efecto de indagar
indecisión,f. Falta de decisión
indispensable,adj. Que no se puede dispensar
individual,adj. Que concierne o corresponde al individuo persona cuyo nombre se ignora
indulgencia,f. Facilidad en perdonar o disimular las culpas o en conceder gracias
ingrediente,m. Cosa que entra con otras en un remedio una bebida un guisado u otro compuesto U. t. en sent. fig.
insignificante,adj. De escasa importancia o relevancia
insistente,adj. Que insiste
institucional,adj. Perteneciente o relativo a una institución o a instituciones políticas religiosas sociales etc.
intensidad,f. Grado de fuerza con que se manifiesta un agente natural una magnitud física una cualidad una expresión etc.
interferir,tr. Cruzar interponer algo en el camino de otra cosa o en una acción U. t. c. prnl.
interrumpir,tr. Cortar la continuidad de algo en el lugar o en el tiempo U. t. c. prnl.
intervenir,tr. Examinar y censurar las cuentas con autoridad suficiente para
intolerante,adj. Que no tiene tolerancia U. t. c. s.
introducir,tr. Conducir a alguien al interior de un lugar
inverosímil,adj. Que no es verosímil
investigar,tr. Indagar para descubrir algo
invitación,f. Acción y efecto de invitar o ser invitado
irracional,adj. Que carece de razón Apl. a animales u. t. c. s.
jubilación,f. Acción y efecto de jubilar o jubilarse
jurisprudencia,f. Ciencia del derecho
justificar,tr. Probar algo con razones convincentes testigos o documentos
justipreciar,tr. Apreciar o tasar algo
kilocaloría,f. Fís. Unidad de energía equivalente a calorías Símb.
kilográmetro,m. Mec. p. us. Unidad de trabajo mecánico o esfuerzo equivalente al capaz de levantar kilogramo a metro de altura
kinesiología,f. Med. Conjunto de los procedimientos terapéuticos encaminados a restablecer la normalidad de los movimientos del cuerpo humano
laboratorio,m. Lugar dotado de los medios necesarios para realizar investigaciones experimentos y trabajos de carácter científico o técnico
lamentable,adj. Que merece ser lamentado o es digno de llorarse
languidecer,intr. Adolecer de languidez
legitimidad,f. Cualidad de legítimo
liberación,f. Acción de poner en libertad
licenciatura,f. Grado universitario inmediatamente inferior al doctorado
luminosidad,f. Cualidad de luminoso
maravillar,tr. Causar admiración a alguien
monumental,adj. Perteneciente o relativo a un monumento obra pública
movimiento,m. Acción y efecto de mover
multinacional,adj. Perteneciente o relativo a muchas naciones
multiplicar,tr. Aumentar el número o la cantidad de cosas de la misma especie U. t. c. intr. y c. prnl. especialmente hablando de lo que se multiplica por generación U. t. en sent. fig.
nanotecnología,f. Tecnología de los materiales y de las estructuras en la que el orden de magnitud se mide en nanómetros
narcisista,adj. Perteneciente o relativo al narcisismo
naturalismo,m. Esc.  Tendencia a la representación fiel y descarnada de la realidad
naturalizar,tr. Admitir en un país como si de él fuera natural a una persona extranjera concediéndole los derechos e imponiéndole los deberes de los ciudadanos de ese país
necrología,f. Noticia comentada acerca de una persona muerta hace poco tiempo
nefrología,f. Med. Rama de la medicina que se ocupa del riñón y de sus enfermedades
negligente,adj. descuidado. U. t. c. s.
neocolonialismo,m. Predominio e influencia determinantes especialmente en el campo de la economía por parte de antiguas potencias coloniales naciones poderosas y empresas internacionales sobre países descolonizados o en vías de desarrollo
neologismo,m. Ling. Vocablo acepción o giro nuevo en una lengua
nominalizar,tr. Gram. Convertir en nombre una palabra o un grupo de palabras p. ej.  de  U. t. c. prnl.
obligación,f. Aquello que alguien está obligado a hacer
obstaculizar,tr. Impedir o dificultar la consecución de un propósito
omnipotencia,f. Cualidad de omnipotente
onomatopeya,f. Formación de una palabra por imitación del sonido de aquello que designa
organización,f. Acción y efecto de organizar u organizarse
orientación,f. Acción y efecto de orientar u orientarse
ornamental,adj. Perteneciente o relativo a la ornamentación o adorno
ortografía,f. Conjunto de normas que regulan la escritura de una lengua
patriarcal,adj. Perteneciente o relativo al patriarca y a su autoridad y gobierno
perjudicar,tr. Ocasionar daño o menoscabo material o moral U. t. c. prnl.
plataforma,f. Tablero horizontal descubierto y elevado sobre el suelo donde se colocan personas o cosas
positividad,f. Cualidad de positivo
precipicio,m. Despeñadero por cuya proximidad no se puede andar sin riesgo de caer
prevención,f. Acción y efecto de prevenir
primaveral,adj. Perteneciente o relativo a la primavera
pronóstico,m. Acción y efecto de pronosticar
protagonista,m. y f. En una obra teatral literaria o cinematográfica personaje principal de la acción
querellante,adj. Der. Que se querella U. t. c. s.
quesadilla,f. Cierto género de pastel compuesto de queso y masa
quienquiera,pron. indef. m. y f. Cualquier persona o cualquiera  U. especialmente en Am.
quitamanchas,m. y f. Persona que tiene por oficio quitar las manchas de las ropas
quitapenas,m. coloq. licor bebida espiritosa
recaudación,f. Acción de recaudar
redundante,adj. Que tiene redundancia
refaccionar,tr. Am. Mer. Méx.  Restaurar o reparar especialmente edificios
refrescante,adj. Que refresca
relacionar,tr. Hacer relación de un hecho
rendimiento,m. Producto o utilidad que rinde o da alguien o algo
repercutir,intr. rebotar retroceder o cambiar de dirección
representar,tr. Hacer presente algo con palabras o figuras que la imaginación retiene U. t. c. prnl.
reprochable,adj. Que puede reprocharse o es digno de reproche
repugnante,adj. Que repugna
resistente,adj. Que resiste o es capaz de resistir
resplandeciente,adj. Que resplandece
responsable,adj. Obligado a responder de algo o por alguien U. t. c. s.
restablecer,tr. Volver a establecer algo o ponerlo en el estado que antes tenía
restaurante,m. Establecimiento público donde se sirven comidas y bebidas mediante precio para ser consumidas en el mismo local
restringir,tr. Ceñir circunscribir reducir a menores límites
revolución,f. Acción y efecto de revolver o revolverse
sacrificar,tr. Ofrecer a una divinidad algo o a alguien en su honor generalmente destruyéndo o matándo
satisfacer,tr. Pagar enteramente lo que se debe
seleccionar,tr. Elegir escoger por medio de una selección
servidumbre,f. Estado o condición de siervo
significar,tr. Dicho de una cosa Ser por naturaleza imitación o convenio representación indicio o signo de otra cosa distinta
sincronizar,tr. Hacer que coincidan en el tiempo dos o más movimientos o fenómenos
sintetizar,tr. Hacer síntesis de algo
sobrevivir,intr. Dicho de una persona Vivir después de la muerte de otra o después de un determinado suceso
solucionar,tr. Hacer que un problema una duda una dificultad o algo que los entraña dejen de existir  U. t. c. prnl.
sorprender,tr. Pillar desprevenido
tartamudear,intr. Hablar o leer con pronunciación entrecortada y repitiendo las sílabas
televisión,f. Sistema de transmisión de imágenes a distancia a través de diferentes medios electromagnéticos y que se reproducen posteriormente en un aparato receptor
tradicional,adj. Perteneciente o relativo a la tradición
traicionar,tr. Cometer traición
transferir,tr. Pasar o llevar algo desde un lugar a otro
transformar,tr. Hacer cambiar de forma a alguien o algo U. t. c. prnl.
transmitir,tr. Trasladar transferir
transparente,adj. Dicho de un cuerpo Que permite ver los objetos con nitidez a través de él
transpirar,intr. Dicho del cuerpo Exudar a través del tegumento U. t. c. prnl.
transportar,tr. Llevar a alguien o algo de un lugar a otro
trasplantar,tr. Trasladar plantas del sitio en que están arraigadas y plantarlas en otro
trastornar,tr. Invertir el orden regular de algo
trayectoria,f. Línea descrita en el plano o en el espacio por un cuerpo en movimiento
ultraderecha,f. Derecha política de ideología extremista
ultraizquierda,f. Izquierda política de ideología extremista
ultrasensible,adj. Dotado de una sensibilidad superior a la normal
ultrasonido,m. Sonido cuya frecuencia de vibraciones es superior al límite perceptible por el oído humano Tiene muchas aplicaciones industriales y se emplea en medicina
ultratumba,f. Ámbito más allá de la muerte
ultravioleta,adj. Fís. Dicho de una radiación Que se encuentra entre el extremo violeta del espectro visible y los rayos X y provoca reacciones químicas de gran repercusión biológica U. t. c. s. m.
unicelular,adj. Que consta de una sola célula
unidimensional,adj. De una sola dimensión
unidireccional,adj. De una sola dirección
unificación,f. Acción y efecto de unificar
unilateral,adj. Que se refiere o se circunscribe solamente a una parte o a un aspecto de algo
unipartidismo,m. Sistema político basado en la existencia legal y el gobierno de un solo partido
unipersonal,adj. Que consta de una sola persona
universidad,f. Institución de enseñanza superior que comprende diversas facultades y que confiere los grados académicos correspondientes Según las épocas y países puede comprender colegios institutos departamentos centros de investigación escuelas profesionales etc. Universidad de Salamanca
usufructuar,tr. Der. Tener o gozar el usufructo de una cosa
usurpación,f. Acción y efecto de usurpar
vacilación,f. Acción y efecto de vacilar
vecindario,m. Conjunto de los vecinos de un municipio o solo de una población o de parte de ella
violonchelo,m. Instrumento musical de cuerda tocado con arco más grande que la viola y más pequeño que el contrabajo y con un registro intermedio entre ambos El intérprete que está sentado lo coloca entre sus piernas para tocarlo
vislumbrar,tr. Ver un objeto tenue o confusamente por la distancia o falta de luz
vulnerable,adj. Que puede ser herido o recibir lesión física o moralmente
xerografía,f. Procedimiento electrostático que utilizando conjuntamente la fotoconductividad y la atracción eléctrica concentra polvo colorante en las zonas negras o grises de una imagen registrada por la cámara oscura en una placa especial La imagen con el polvo colorante adherido pasa a un papel donde se fija mediante la acción del calor o de ciertos vapores
xilofonista,m. y f. Persona que toca el xilófono
xilografía,f. Arte de grabar en madera
yacimiento,m. Sitio donde se halla naturalmente una roca un mineral o un fósil
yuxtaponer,tr. Poner algo junto a otra cosa o inmediata a ella U. t. c. prnl.
